Date,UK Price (GBP)
2024-01-29 00:00:00,45.1
2024-01-29 00:30:00,51.07
2024-01-29 01:00:00,57.97
2024-01-29 01:30:00,56.1
2024-01-29 02:00:00,66.07
2024-01-29 02:30:00,66.01
2024-01-29 03:00:00,77.45
2024-01-29 03:30:00,69.05
2024-01-29 04:00:00,71.02
2024-01-29 04:30:00,60.0
2024-01-29 05:00:00,66.08
2024-01-29 05:30:00,60.0
2024-01-29 06:00:00,78.0
2024-01-29 06:30:00,69.93
2024-01-29 07:00:00,66.1
2024-01-29 07:30:00,78.43
2024-01-29 08:00:00,68.08
2024-01-29 08:30:00,78.72
2024-01-29 09:00:00,75.07
2024-01-29 09:30:00,75.06
2024-01-29 10:00:00,77.05
2024-01-29 10:30:00,75.07
2024-01-29 11:00:00,72.03
2024-01-29 11:30:00,72.0
2024-01-29 12:00:00,70.02
2024-01-29 12:30:00,70.0
2024-01-29 13:00:00,71.9
2024-01-29 13:30:00,61.1
2024-01-29 14:00:00,80.7
2024-01-29 14:30:00,72.01
2024-01-29 15:00:00,74.05
2024-01-29 15:30:00,82.0
2024-01-29 16:00:00,89.99
2024-01-29 16:30:00,90.0
2024-01-29 17:00:00,89.99
2024-01-29 17:30:00,89.99
2024-01-29 18:00:00,89.99
2024-01-29 18:30:00,87.49
2024-01-29 19:00:00,78.95
2024-01-29 19:30:00,76.97
2024-01-29 20:00:00,70.95
2024-01-29 20:30:00,70.95
2024-01-29 21:00:00,67.05
2024-01-29 21:30:00,65.0
2024-01-29 22:00:00,60.23
2024-01-29 22:30:00,58.62
2024-01-29 23:00:00,62.91
2024-01-29 23:30:00,62.3
2024-01-30 00:00:00,61.34
2024-01-30 00:30:00,61.36
2024-01-30 01:00:00,57.81
2024-01-30 01:30:00,54.41
2024-01-30 02:00:00,54.41
2024-01-30 02:30:00,54.4
2024-01-30 03:00:00,56.96
2024-01-30 03:30:00,54.41
2024-01-30 04:00:00,62.42
2024-01-30 04:30:00,57.8
2024-01-30 05:00:00,65.33
2024-01-30 05:30:00,64.59
2024-01-30 06:00:00,65.92
2024-01-30 06:30:00,55.02
2024-01-30 07:00:00,69.96
2024-01-30 07:30:00,84.01
2024-01-30 08:00:00,69.44
2024-01-30 08:30:00,77.44
2024-01-30 09:00:00,74.93
2024-01-30 09:30:00,68.0
2024-01-30 10:00:00,68.01
2024-01-30 10:30:00,63.94
2024-01-30 11:00:00,62.99
2024-01-30 11:30:00,62.95
2024-01-30 12:00:00,64.22
2024-01-30 12:30:00,61.93
2024-01-30 13:00:00,64.92
2024-01-30 13:30:00,60.94
2024-01-30 14:00:00,67.94
2024-01-30 14:30:00,65.25
2024-01-30 15:00:00,69.57
2024-01-30 15:30:00,75.8
2024-01-30 16:00:00,75.59
2024-01-30 16:30:00,84.95
2024-01-30 17:00:00,89.9
2024-01-30 17:30:00,89.9
2024-01-30 18:00:00,86.97
2024-01-30 18:30:00,83.8
2024-01-30 19:00:00,80.98
2024-01-30 19:30:00,75.1
2024-01-30 20:00:00,71.64
2024-01-30 20:30:00,68.0
2024-01-30 21:00:00,70.89
2024-01-30 21:30:00,65.52
2024-01-30 22:00:00,62.14
2024-01-30 22:30:00,57.33
2024-01-30 23:00:00,63.92
2024-01-30 23:30:00,64.05
2024-01-31 00:00:00,64.0
2024-01-31 00:30:00,65.25
2024-01-31 01:00:00,64.67
2024-01-31 01:30:00,61.25
2024-01-31 02:00:00,61.49
2024-01-31 02:30:00,57.59
2024-01-31 03:00:00,60.87
2024-01-31 03:30:00,57.54
2024-01-31 04:00:00,62.55
2024-01-31 04:30:00,60.02
2024-01-31 05:00:00,57.91
2024-01-31 05:30:00,57.92
2024-01-31 06:00:00,62.56
2024-01-31 06:30:00,64.92
2024-01-31 07:00:00,72.55
2024-01-31 07:30:00,79.97
2024-01-31 08:00:00,78.435
2024-01-31 08:30:00,76.9
2024-01-31 09:00:00,72.89
2024-01-31 09:30:00,68.88000000000001
2024-01-31 10:00:00,64.87
2024-01-31 10:30:00,66.9
2024-01-31 11:00:00,68.42
2024-01-31 11:30:00,64.42
2024-01-31 12:00:00,64.01
2024-01-31 12:30:00,57.59
2024-01-31 13:00:00,64.0
2024-01-31 13:30:00,57.32
2024-01-31 14:00:00,62.9
2024-01-31 14:30:00,58.88
2024-01-31 15:00:00,55.99
2024-01-31 15:30:00,66.0
2024-01-31 16:00:00,62.96
2024-01-31 16:30:00,76.91
2024-01-31 17:00:00,79.93
2024-01-31 17:30:00,79.92
2024-01-31 18:00:00,76.91
2024-01-31 18:30:00,72.95
2024-01-31 19:00:00,69.93
2024-01-31 19:30:00,67.58
2024-01-31 20:00:00,65.06
2024-01-31 20:30:00,62.58
2024-01-31 21:00:00,62.55
2024-01-31 21:30:00,56.07
2024-01-31 22:00:00,56.79
2024-01-31 22:30:00,44.95
2024-01-31 23:00:00,44.95
2024-01-31 23:30:00,44.93
2024-02-01 00:00:00,44.95
2024-02-01 00:30:00,44.99
2024-02-01 01:00:00,55.68
2024-02-01 01:30:00,44.0
2024-02-01 02:00:00,47.1
2024-02-01 02:30:00,40.0
2024-02-01 03:00:00,49.49
2024-02-01 03:30:00,43.91
2024-02-01 04:00:00,49.09
2024-02-01 04:30:00,49.52
2024-02-01 05:00:00,62.0
2024-02-01 05:30:00,59.91
2024-02-01 06:00:00,70.95
2024-02-01 06:30:00,69.94
2024-02-01 07:00:00,79.99
2024-02-01 07:30:00,81.1
2024-02-01 08:00:00,72.01
2024-02-01 08:30:00,79.51
2024-02-01 09:00:00,74.29
2024-02-01 09:30:00,74.14
2024-02-01 10:00:00,68.99
2024-02-01 10:30:00,66.0
2024-02-01 11:00:00,63.1
2024-02-01 11:30:00,63.09
2024-02-01 12:00:00,63.05
2024-02-01 12:30:00,62.03
2024-02-01 13:00:00,63.76
2024-02-01 13:30:00,62.72
2024-02-01 14:00:00,68.57
2024-02-01 14:30:00,67.18
2024-02-01 15:00:00,69.38
2024-02-01 15:30:00,71.38
2024-02-01 16:00:00,72.48
2024-02-01 16:30:00,80.59
2024-02-01 17:00:00,85.09
2024-02-01 17:30:00,84.825
2024-02-01 18:00:00,84.56
2024-02-01 18:30:00,81.745
2024-02-01 19:00:00,78.93
2024-02-01 19:30:00,75.22
2024-02-01 20:00:00,71.51
2024-02-01 20:30:00,70.18
2024-02-01 21:00:00,71.01
2024-02-01 21:30:00,67.97
2024-02-01 22:00:00,61.05
2024-02-01 22:30:00,59.97
2024-02-01 23:00:00,52.72
2024-02-01 23:30:00,52.75
2024-02-02 00:00:00,45.34
2024-02-02 00:30:00,50.0
2024-02-02 01:00:00,50.0
2024-02-02 01:30:00,48.49375
2024-02-02 02:00:00,46.9875
2024-02-02 02:30:00,45.48125
2024-02-02 03:00:00,43.975
2024-02-02 03:30:00,42.46875
2024-02-02 04:00:00,40.962500000000006
2024-02-02 04:30:00,39.456250000000004
2024-02-02 05:00:00,37.95
2024-02-02 05:30:00,52.05
2024-02-02 06:00:00,52.51
2024-02-02 06:30:00,57.16
2024-02-02 07:00:00,70.01
2024-02-02 07:30:00,74.97
2024-02-02 08:00:00,70.01
2024-02-02 08:30:00,74.91
2024-02-02 09:00:00,72.58
2024-02-02 09:30:00,70.01
2024-02-02 10:00:00,68.0
2024-02-02 10:30:00,63.0
2024-02-02 11:00:00,61.32
2024-02-02 11:30:00,54.7
2024-02-02 12:00:00,61.69
2024-02-02 12:30:00,56.61
2024-02-02 13:00:00,59.4
2024-02-02 13:30:00,48.62
2024-02-02 14:00:00,53.7
2024-02-02 14:30:00,46.18
2024-02-02 15:00:00,42.64
2024-02-02 15:30:00,55.01
2024-02-02 16:00:00,54.01
2024-02-02 16:30:00,70.02
2024-02-02 17:00:00,70.43
2024-02-02 17:30:00,74.91
2024-02-02 18:00:00,74.97
2024-02-02 18:30:00,70.01
2024-02-02 19:00:00,73.5
2024-02-02 19:30:00,58.86
2024-02-02 20:00:00,57.57
2024-02-02 20:30:00,45.83
2024-02-02 21:00:00,54.32
2024-02-02 21:30:00,39.8
2024-02-02 22:00:00,44.01
2024-02-02 22:30:00,36.01
2024-02-02 23:00:00,33.09
2024-02-02 23:30:00,22.91
2024-02-03 00:00:00,28.0
2024-02-03 00:30:00,32.0
2024-02-03 01:00:00,27.95
2024-02-03 01:30:00,20.05
2024-02-03 02:00:00,9.94
2024-02-03 02:30:00,9.94
2024-02-03 03:00:00,9.93
2024-02-03 03:30:00,9.92
2024-02-03 04:00:00,9.94
2024-02-03 04:30:00,9.94
2024-02-03 05:00:00,16.64
2024-02-03 05:30:00,18.07
2024-02-03 06:00:00,38.43
2024-02-03 06:30:00,47.57
2024-02-03 07:00:00,42.99
2024-02-03 07:30:00,51.01
2024-02-03 08:00:00,50.91
2024-02-03 08:30:00,55.09
2024-02-03 09:00:00,50.45
2024-02-03 09:30:00,54.04
2024-02-03 10:00:00,55.0
2024-02-03 10:30:00,48.95
2024-02-03 11:00:00,51.95
2024-02-03 11:30:00,51.94
2024-02-03 12:00:00,51.08
2024-02-03 12:30:00,49.45
2024-02-03 13:00:00,48.0
2024-02-03 13:30:00,48.0
2024-02-03 14:00:00,46.75
2024-02-03 14:30:00,47.25
2024-02-03 15:00:00,46.95
2024-02-03 15:30:00,51.92
2024-02-03 16:00:00,64.0
2024-02-03 16:30:00,73.35
2024-02-03 17:00:00,79.6
2024-02-03 17:30:00,76.4
2024-02-03 18:00:00,80.99
2024-02-03 18:30:00,75.01
2024-02-03 19:00:00,65.1
2024-02-03 19:30:00,59.23
2024-02-03 20:00:00,51.94
2024-02-03 20:30:00,47.55
2024-02-03 21:00:00,51.07
2024-02-03 21:30:00,32.93
2024-02-03 22:00:00,41.07
2024-02-03 22:30:00,28.0
2024-02-03 23:00:00,32.04
2024-02-03 23:30:00,25.28
2024-02-04 00:00:00,20.09
2024-02-04 00:30:00,23.2
2024-02-04 01:00:00,16.07
2024-02-04 01:30:00,10.01
2024-02-04 02:00:00,12.09
2024-02-04 02:30:00,10.61
2024-02-04 03:00:00,12.07
2024-02-04 03:30:00,7.2
2024-02-04 04:00:00,12.0
2024-02-04 04:30:00,8.64
2024-02-04 05:00:00,8.04
2024-02-04 05:30:00,8.0
2024-02-04 06:00:00,10.0
2024-02-04 06:30:00,10.0
2024-02-04 07:00:00,10.43
2024-02-04 07:30:00,15.53
2024-02-04 08:00:00,20.16
2024-02-04 08:30:00,28.09
2024-02-04 09:00:00,24.09
2024-02-04 09:30:00,35.6
2024-02-04 10:00:00,30.01
2024-02-04 10:30:00,30.0
2024-02-04 11:00:00,32.03
2024-02-04 11:30:00,33.14
2024-02-04 12:00:00,40.01
2024-02-04 12:30:00,40.0
2024-02-04 13:00:00,40.01
2024-02-04 13:30:00,40.0
2024-02-04 14:00:00,44.22
2024-02-04 14:30:00,45.01
2024-02-04 15:00:00,44.01
2024-02-04 15:30:00,42.58
2024-02-04 16:00:00,50.01
2024-02-04 16:30:00,58.03
2024-02-04 17:00:00,68.08
2024-02-04 17:30:00,77.17
2024-02-04 18:00:00,75.68
2024-02-04 18:30:00,70.96
2024-02-04 19:00:00,70.57
2024-02-04 19:30:00,60.1
2024-02-04 20:00:00,58.04
2024-02-04 20:30:00,52.44
2024-02-04 21:00:00,48.58
2024-02-04 21:30:00,32.0
2024-02-04 22:00:00,39.04
2024-02-04 22:30:00,30.01
2024-02-04 23:00:00,20.03
2024-02-04 23:30:00,10.01
